"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"28","Por Guayaquil y por el Ecuador. 
(audio) https://t.co/tqWXZ9tTX7",FALSE,3575,NA,2019-10-08 14:10:57,FALSE,NA,"1181572695709933568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",2091,FALSE,FALSE,NA,NA
"29","“Cadena radial cívica para defender a Guayaquil y al Ecuador” https://t.co/FcfeHp0Tty",FALSE,755,NA,2019-10-08 12:22:25,FALSE,NA,"1181545380179263488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",313,FALSE,FALSE,NA,NA
"30","Decidida y totalmente apoyo esa posición. La democracia y la seguridad de las personas y de los bienes deben ser pr… https://t.co/nV218Z7xbS",FALSE,1295,NA,2019-10-07 22:49:46,TRUE,NA,"1181340870504787968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",694,FALSE,FALSE,NA,NA
"31","No es justo que el Estado pase de subsidiar al pueblo a ser subsidiado por el pueblo. https://t.co/Vb8DYifg2q",FALSE,1396,NA,2019-10-07 21:14:56,FALSE,NA,"1181317005078650880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",635,FALSE,FALSE,NA,NA
"32","Saludos a #LosRíos por sus 159 años de provincialización que cumplió el día de ayer y a #Quevedo por su aniversario… https://t.co/QACFloWged",FALSE,222,NA,2019-10-07 17:49:41,TRUE,NA,"1181265353785118722",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jaimenebotsaadi",47,FALSE,FALSE,NA,NA
"33","En vivo https://t.co/IHJoh1wk9A",FALSE,567,NA,2019-10-07 12:07:10,FALSE,NA,"1181179154005315584",NA,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>","jaimenebotsaadi",348,FALSE,FALSE,NA,NA
"34","Buenas noches, mañana estaré en @ecuavisa a las 07:00 en el programa #ContactoDirecto para hablar de la difícil sit… https://t.co/gZN6cIvSDt",FALSE,775,NA,2019-10-07 02:55:28,TRUE,NA,"1181040317191086082",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",224,FALSE,FALSE,NA,NA
"35","El gobierno no puede dedicar la millonaria cantidad de dinero que está trasladando de los bolsillos del pueblo a lo… https://t.co/xy9DS8q9ce",FALSE,203,"jaimenebotsaadi",2019-10-05 01:01:04,TRUE,"1180283104709287937","1180286749265793024","24776620","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",97,FALSE,FALSE,NA,NA
"36","Hay que impedir que una persona pobre dedique una quinta parte de sus ingresos (sobre el salario básico $394 mensua… https://t.co/tagy4Fs4IR",FALSE,306,"jaimenebotsaadi",2019-10-05 00:46:35,TRUE,"1180271433307623424","1180283104709287937","24776620","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",148,FALSE,FALSE,NA,NA
"37","Se debe derogar la norma que permite a Petroecuador fijar el precio de los combustibles de acuerdo a su costo(inefi… https://t.co/NmnWsTim3g",FALSE,153,"jaimenebotsaadi",2019-10-05 00:00:12,TRUE,"1180269176725889025","1180271433307623424","24776620","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",80,FALSE,FALSE,NA,NA
"38","Si el gobierno escogió transparentar el precio de los combustibles debió – por justicia y simultáneamente- eliminar… https://t.co/pbChYyb9di",FALSE,126,"jaimenebotsaadi",2019-10-04 23:51:14,TRUE,"1180266222702727169","1180269176725889025","24776620","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",50,FALSE,FALSE,NA,NA
"39","El Estado debe estar al servicio del pueblo, no al revés. No se puede combatir la pobreza, destruyendo a los que pr… https://t.co/Feoq5C26F5",FALSE,93,"jaimenebotsaadi",2019-10-04 23:39:30,TRUE,"1180265742614306816","1180266222702727169","24776620","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",44,FALSE,FALSE,NA,NA
"40","En su momento hicimos juntos multitudinarias manifestaciones, logramos nuestro objetivo, y no hubo ni un foco roto,… https://t.co/ylXal5TsQu",FALSE,91,"jaimenebotsaadi",2019-10-04 23:37:35,TRUE,"1180265450749534208","1180265742614306816","24776620","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",36,FALSE,FALSE,NA,NA
"41","LA EFICIENCIA Y LA SOLIDARIDAD SON LA BASE DE LA PROSPERIDAD. https://t.co/uUd69Uvr3R",FALSE,382,NA,2019-10-04 23:36:26,FALSE,NA,"1180265450749534208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",174,FALSE,FALSE,NA,NA
